Абазинский язык
Абенаки
Абхазский язык
Аварский язык
Авестийский язык
Авнги
Агульский язык
Адыгейский язык
Азербайджанский язык
Аймара
Айнийский язык
Айнский язык
Аканский язык
Аккадский язык
Алабамский язык
Албанский язык
Алеутский язык
Алжирский язык
Алтайский язык
Амаракери
Амисский язык
Амхарский язык
Английский язык
Англосаксонский язык
Андийский язык
Анута
Апачский язык
Арабела
Арабский язык
Арагонский язык
Арамейский язык
Аранский язык
Аранта
Арапахо
Аргобба
Армянский язык
Арнаутский язык
Арумынский язык
Арчинский язык
Ассамский язык
Астурийский язык
Атаяльский язык
Афарский язык
Африкаанс
Ахвахский язык
Ахомский язык
Багата
Багвалинский язык
Балийский язык
Бамана (Бамбара)
Банива
Бантава
Баскский язык
Басса
Бахаса синама
Башкирский язык
Беджа
Белорусский язык
Белуджский язык
Бемба
Бенч
Бикольский язык
Бислама
Блэкфут
Болгарский язык
Бора
Боснийский язык
Бретонский язык
Будухский язык
Бурушаски
Бурятский язык
Бутанский язык
Бухидский язык
Бходжпури
Ваи
Вайандот
Валлийский язык
Валлонский язык
Варлпири
Ваханский язык
Венда
Венетский язык
Вепсский язык
Вик-мунгкан
Виратури
Водский язык
Волапюк
Выруский язык
Вьетнамский язык
Гегский язык
Греческий язык
Грузинский язык
Гуахиро
Дари
Датский язык
Джерсийский язык
Динка
Долуо
Дуала
Дунский язык
Дусунский язык
Египетский диалект арабского
Западнофризский язык
Ибанский язык
Иврит
Ижорский язык
Илоканский язык
Ингушский язык
Индонезийский язык
Ирландский язык
Исландский язык
Испанский язык
Итальянский язык
Кабардино-черкесский язык
Кабильский язык
Кабувердьяну
Каинганг
Кайюга
Калмыцкий язык
Канури
Капампанган
Караимский язык
Каракалпакский язык
Карамоджонг
Карачаево-балкарский язык
Карельский язык
Карийский язык
Каталанский язык
Кекчи
Кельтиберский язык
Кечуа
Китайский язык
Команчский язык
Коптский язык
Корейский язык
Корнский язык
Кофан
Кхмерский язык
Ладинский язык
Лазский язык
Лакский язык
Лаосский язык
Латинский язык
Латышский язык
Лезгинский язык
Ливанский язык
Литовский язык
Македонский язык
Мальдивский язык
Монгольский язык
Немецкий язык
Нидерландский язык
Норвежский язык
Оромо
Персидский язык
Польский язык
Португальский язык
Румынский язык
Русский язык
Себуанский язык
Сербский язык
Сефардский язык
Сирийский язык
Трукский (чуукский) язык
Турецкий язык
Туркменский язык
Уаб-мето
Удмуртский язык
Узбекский язык
Украинский язык
Уме-саамский язык
Урду
Финский язык
Французский язык
Хорватский язык
Цимбрский язык
Чавакано
Чакма
Чамалинский язык
Чаморро
Чамский язык
Чаха
Чева
Чеченский язык
Чешский язык
Чикасо
Чипевиан
Чоктавский язык
Чувашский язык
Чукотский язык
Шайенский язык
Шведский язык
Эльзасский диалект
Эстонский язык
Эстремадурский язык
Ямайский язык
Яо
Японский язык
